nombre,nombre_corto,rol,dialogo,num_debate
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien, yo pude ser uno de esos muertos, ¿Meade, te han secuestrado a un hijo de dos años? ¿Anaya, alguna vez has sufrido tres atentados por luchar contra la inseguridad de este país? Igual usted, señora Margarita. ¿Andrés, alguien te ha matado un hijo? Creo que tengo la experiencia por ser una víctima de este país y de los malos gobiernos, esta es una bala que guardé, no la había sacado nunca, hoy la traje precisamente porque miles de balas están tiradas en muchas partes del país, es una parte que a mí me mueve y por eso estoy aquí, porque le hice una promesa a mi hijo, que lo encontré muerto y la autoridad no me ayudó, como ninguna autoridad ayuda a aquellos que pierden la vida.Por eso hoy creo que tengo que tomar una decisión, tenemos que cambiar el sistema de seguridad, hay que contratar a los expertos…",1
SERGIO SARMIENTO,NA,Moderador,"Candidato Jaime Rodríguez Calderón, en homicidio doloso en Nuevo León subió durante es un muy breve mandato, hubo 451 homicidios dolosos en 2015, cuando usted asumió el poder, 644 en 2016, 656 en 2017, según cifras del secretariado ejecutivo del Sistema de Seguridad Pública de nuestra nación, ¿qué falló? ¿Por qué aumentaron los homicidios dolosos en Nuevo León cuando usted fue gobernador?",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Porque toda la política que hemos incrementado en el país o detectado en el país no ha resultado, la violencia crece por que hemos sido laxos, hay que contratar a los mejores, y por eso tenemos que hacerlo, nosotros trajimos en Nuevo León a la empresa de Nueva York que tiene un sistema que se llama , ya no podemos seguir con la pistolita y solamente el proceso de persecución, hoy tenemos que usar la tecnología, efectivamente, pero te he de decir que Nuevo León es el único estado que ha bajado el índice delictivo, no me dejaste terminar, me debes dejar terminar cuando yo estaba, no había terminado el minuto.",1
SERGIO SARMIENTO,NA,Moderador,"No sabía yo que lo había interrumpido, pero puede usted proceder.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien, espero que me lo regreses, el tiempo. Hay una parte importante que tenemos que ver en el país. Los gobernantes no somos expertos para todo, yo no soy Santa Claus ni quiero ser Supermán, tenemos que contratar a los mejores, para eso nosotros vamos precisamente a hacer la primer policía cibernética, construida en el FBI, que dependa directamente del presidente, que nosotros cambiemos el sistema para que los gobernadores se pongan a jalar y dejen de estarle echando la culpa a la Federación, y para eso hay un sistema en el que tenemos que llegar a un acuerdo para lograrlo, hay que mejorar las condiciones de policía, la gente no abraza a un policía, nosotros tenemos que darle certeza al ciudadano para que el ciudadano participe y para eso existe la tecnología, haremos un centro para que esto funcione.",1
SERGIO SARMIENTO,NA,Moderador,Gracias candidato Jaime Rodríguez Calderón. Denise.,1
DENISE MAERKER,NA,Moderador,"Sí, la pregunta general para el candidato Andrés Manuel López Obrador, se la recuerdo, ¿qué medidas tomará usted como presidente de la República para combatir la violencia y qué le hace pensar que tendrá éxito donde todos los demás han fracasado?",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Yo he tenido éxito, fui jefe de gobierno de esta ciudad y reduje la incidencia delictiva, y existen los datos oficiales que respaldan mi dicho. Aquí traje una muestra: bajó en el tiempo que fui jefe de gobierno el robo de vehículo con violencia, y bajó también el delito de homicidio en el tiempo que fui. Voy a dar un dato: en el último año de mi gobierno, 2005, 684 homicidios; el año pasado en la Ciudad de México, 1084 homicidios. Y si comparamos con lo que ha sucedido, desde luego que fue exitosa nuestra experiencia.",1
DENISE MAERKER,NA,Moderador,"Para preguntas, ha hablado, hizo una declaración en Quetzaltenango, en Guerrero, que llama mucho la atención, permítame que la recuerde, habló de que había una posibilidad de hacer una amnistía. Le preguntaría, ¿quiénes serían, candidato, los beneficiarios de esa posible amnistía? Campesinos que siembran amapola, los alcones, los sicarios que matan, los jefes de los grupos criminales. ¿Quiénes se podrían beneficiar de esa amnistía que propone?",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Primero aclarar que la amnistía no significa impunidad porque se a manejado desde luego de manera malintencionada, que yo quiero sacar de la cárcel a los delincuentes que han cometido delitos, criminales. Yo lo que considero es que tenemos que atender las causas que originaron el problema de la inseguridad y la violencia. Dije desde hace algún tiempo que por el bien de todos, primero los pobres. Han crecido los pobres en México durante el periodo neoliberal y han crecido los pobres que son jóvenes porque no se les ha dado opciones, alternativas. Entonces, voy a convocar al triunfo de nuestro movimiento, después del primero de julio hasta el primero de diciembre, voy a convocar a expertos para elaborar un plan y definir conjuntamente qué vamos a hacer y en ese marco, definir cómo se va a llevar a cabo una amnistía. Estoy invitando hasta al Papa Francisco a participar en este foro.",1
DENISE MAERKER,NA,Moderador,"Para réplica, tiene la palabra para réplica el candidato Ricardo Anaya.",1
RICARDO ANAYA,Anaya,Candidato,"Primero aquí venimos hablar con la verdad, Andrés Manuel ya empezó a faltar a la verdad, si propuso una amnistía, han dado cuenta todos los medios de comunicación, esto se intentó en Colombia hace 25 años, fue una absoluto desastre, aumentó más la violencia, es falso que cuando fue Jefe de Gobierno estuviera la seguridad, por cada cien casos en el país los secuestros crecieron 88%, él va a decir que no es cierto, que es la mafia del poder, entonces por qué salió medio millón de personas a manifestarse contra la inseguridad cuando él era Jefe de Gobierno.",1
DENISE MAERKER,NA,Moderador,José Antonio Meade para una réplica.,1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Andrés sin duda tu amnistía te pone del lado de los criminales quieres perdonar lo imperdonable, esta semana vimos una escalofriante video, lo vimos de hecho en el noticiero de Azucena, de una masacre de policías en Guerrero, cómo le vas a explicar a las familias que con esos delincuentes te quieres sentar a dialogar, en tu ambición de poder, y en tu miedo de volver a perder te has convertido en un títere de los criminales, yo los voy a meter a la cárcel.",1
DENISE MAERKER,NA,Moderador,"Quiere contestar, quiere hacer uso de su réplica candidato, adelante.",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Como no, mire, es muy grave la situación de inseguridad y de violencia en el país y no ha funcionado la estrategia que han planteado tanto el PRI como el PAN, ha crecido el número de homicidios, 220 mil asesinatos en el Gobierno de Calderón y de Peña, 36 mil desaparecidos, más de un millón de víctimas de la violencia, tenemos que hacer todo para conseguir la paz.",1
DENISE MAERKER,NA,Moderador,"Gracias candidato. Para réplica me pide la palabra Jaime Rodríguez Calderón, candidato adelante.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien, creo que esta parte importante de la seguridad nacional tiene que ver con que no hagamos propuestas populistas y Andrés siempre exagera en eso, le gusta traer sus numeritos que sus profesores de Harvard siempre le hacen, porque creo que no le da tiempo por andar ofreciendo que le va a dar dinero a todo mundo, y además la amnistía no es él el que la tiene que proponer, creo que es parte de los mexicanos.",1
DENISE MAERKER,NA,Moderador,Gracias candidato. Azucena.,1
AZUCENA URESTI,NA,Moderador,"Gracias Denise, para el candidato Ricardo Anaya, buenas noches, pregunta general. Qué medidas tomará usted como Presidente de la República para combatir la delincuencia y qué le hace pensar que tendrá éxito en donde todos los demás han fracasado.",1
RICARDO ANAYA,Anaya,Candidato,"México va a cambiar no hay duda, el PRI ya se va la pregunta es qué tipo de cambio queremos, yo vengo a este debate mucho más a proponer que a oponer, pero un debate se contrasta ideas y si voy argumentar porque es lo que plantea Andrés Manuel López Obrador está plagado de engaños, mi solidaridad Jaime, sí tengo tres hijitos, soy papá, no me puedo imaginar el dolor de perder a uno de ellos, la tragedia es que no eres el único, van ya un millón de víctimas acumuladas solamente en los dos últimos sexenios, no está funcionando la estrategia, la tenemos que cambiar.Pero perdonar a los delincuentes, la amnistía que propone López Obrador no es la solución, yo sí tengo un plan, en este libro con 40 puntos en dos ejes, por un lado la prevención, atender las causas más profundas y por otro lado enfrentar el problema con una nueva estrategia.Explicaré a lo largo del debate los puntos fundamentales.",1
AZUCENA URESTI,NA,Moderador,"Candidato, en noviembre del 2015 usted dijo textual `estábamos mejor, mucho mejor con Felipe Calderón` sin embargo en declaraciones posteriores sostuvo lo contrario, por ejemplo en enero cuando dijo que la estrategia de seguridad fue un absoluto fracaso, de qué diagnostico vamos a partir de su Presidencia, candidato.",1
RICARDO ANAYA,Anaya,Candidato,"Siempre he sido absolutamente consistente, en lo económico no hay duda que estábamos muchísimo mejor, en materia de seguridad hoy estamos peor que nunca, como lo dijo Sergio 2017 fue el año más violento en los últimos 20 años en nuestro país.Yo propongo una estrategia en dos grandes ejes, por un lado la prevención, atender las causas más profundas, deporte, cultura, que haya trabajo, como decía Tony Blair para los estudiantes, educación, educación y por el otro lado Azucena enfrentar el problema pero con una nueva estrategia enuncio cuatro cosas, uno, desmantelar y no solamente descabezar a las organizaciones criminales.Duplicar el tamaño de la policía federal, profesionalizar y certificar a todas las policías del país y algo muy importante seguir apoyándonos en el Ejército y la Marina hasta en tanto contemos con policías confiables y que estén del lado de la gente.",1
AZUCENA URESTI,NA,Moderador,"Candidato, si me ayudara en esta ocasión con una pregunta concreta haciendo eco a las demandas de la sociedad civil, le pediría una respuesta a lo siguiente, a favor de una reforma constitucional para un fiscal independiente y autónomo.",1
RICARDO ANAYA,Anaya,Candidato,"Absolutamente a favor y esa es la principal diferencia que tengo con Andrés Manuel López Obrador que en su programa de nación está proponiendo el designar al Fiscal, por qué tiene que ser autónomo e independiente lo explico, entre otras cosas porque todos proponemos la reforma al 108 para que el Presidente pueda ser juzgado pero si el Presidente va a designar al Fiscal y va hacer su empleado, pues jamás lo va a juzgar a él, por supuesto que a favor de un fiscal absolutamente autónomo.",1
AZUCENA URESTI,NA,Moderador,"Candidato por último, en esta condición de inseguridad en el país usted como padre de familia permitiría que sus hijos estuvieran en el Ejército.",1
RICARDO ANAYA,Anaya,Candidato,"Por supuesto que permitiría que mis hijos estuvieran en el Ejército si esa decisión tomaran, creo en la libertad los voy apoyar en su vocación.",1
AZUCENA URESTI,NA,Moderador,"Gracias candidato, replica del ingeniero Jaime Rodríguez Calderón.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Referente a esto, Anaya y por qué no se han puesto de acuerdo para decidir lo del Fiscal autónomo, que representa, precisamente le digo a los mexicanos el hecho que ni Morena, ni el PAN o el Frente, ni el PRI ni nadie hoy nadie ha resuelto y está ahí, ya la solución muy pronto, eso quiere decir que el origen de todos los problemas se llaman partidos políticos.",1
AZUCENA URESTI,NA,Moderador,"Gracias candidato, quiere hacer uso de alguna de sus réplicas.Gracias.",1
SERGIO SARMIENTO,NA,Moderador,"Candidato José Antonio Meade, la pregunta general es qué medidas tomará usted como Presidente de la República para combatir la violencia, y qué le hace pensar que tendrá éxito donde todos los demás han fracasado.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Soy José Antonio Meade y para mí lo más importante es tu seguridad, de dos millones de delitos cada año sólo tres de cada cien se resuelven, como a muchas familias, como platicó Jaime a Juana mi esposa la han asaltado, dos veces, la última con mi hijo en el coche, Andrés Manuel tú eras el Jefe de Gobierno mientras haya impunidad no puede haber seguridad, propongo a los cien días de mi Gobierno lograr primero un código penal único para que los delitos que más te lastiman, robo, extorsión, feminicidios, homicidio se castiguen igual en todo el país, segundo, voy a crear una agencia de investigación especializada, en esos delitos más el secuestro y la trata.Tercero, voy a cuadruplicar la capacidad de investigación del Estado, de la seguridad de tu familia me hago cargo yo.",1
SERGIO SARMIENTO,NA,Moderador,"Candidato Meade, en el sexenio de Enrique Peña Nieto hemos visto un repunte muy fuerte de los homicidios dolosos particularmente a partir del 2015, qué falló, finalmente cuando empezó su Gobierno, el presidente Enrique Peña Nieto señalaba que la caída en los homicidios dolosos era uno de los grandes éxitos de su Gobierno, donde se perdió ese éxito.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Y así fue, como tú platicabas al principio del 2011 al 2014 bajó mucho la delincuencia para después volver a subir, la estrategia tiene que tener tres componentes, el primer componente es prevención, el segundo disuasión y el tercer y muy importante combate a la impunidad y nos hemos quedado cortos en los tres, la prevención tiene que ser transversal y de todos los niveles de Gobierno.Muchos de lo que se ha dicho aquí tiene que ver con disuasión, pero la parte más importante es la impunidad.",1
SERGIO SARMIENTO,NA,Moderador,"Cuál es su posición a cerca de la Ley de Seguridad Interior, candidato.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Yo estoy a favor de que les demos a las fuerzas armadas certeza jurídica, si les damos a las fuerzas armadas certeza jurídica el ciudadano tendrá calidad de modo, tiempo y circunstancia en el que las fuerzas armadas están actuando, le hemos pedido mucho a nuestro Ejército y a nuestra Marina merecen que les demos seguridad en su actuación y el ciudadano merece absoluta claridad cuando vea al Ejército y a la Marina qué se espera de ellos, por cuánto tiempo, por qué modo y por qué circunstancia.Me parece que la ley prevé ese espacio de diálogo y en ese sentido si bien perfectible es un paso en la dirección correcta.",1
SERGIO SARMIENTO,NA,Moderador,Apoyaría la despenalización de las drogas.,1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Me parece que ese es un tema que ataca muy parcialmente el problema, si uno revisa la estructura de ingresos de los carteles, hay drogas, hay parte de personas, hay huachicolero, hay robo, hay extorsión, hay secuestro.Me parece en consecuencia que sólo agotar el tema de la violencia en el tema de las drogas implicaría quedarnos cortos, y para la seguridad tenemos que hacer todavía un mucho mayor esfuerzo.",1
SERGIO SARMIENTO,NA,Moderador,"Gracias candidato Meade, no hay repreguntas de los candidatos Denise.",1
DENISE MAERKER,NA,Moderador,"Gracias Sergio, la pregunta general es para Margarita Zavala, qué medidas tomara usted como Presidente de la República para combatir la delincuencia y qué le hace pensar que tendrá éxito donde todos los demás han fracasado.",1
MARGARITA ZAVALA,Zavala,Candidato,"El eje de mi gobierno será defender a los mexicanos, defenderte a ti, defenderte de los corruptos, defenderte de los delincuentes, defenderte de Trump, defenderte del abuso de los partidos políticos, defenderte de las propuestas de López Obrador, lo que está pasando es que este Gobierno nos falló a todos y hoy nuestra sociedad tiene más miedo que nunca, te voy a defender a ti a través de mis propuestas de seguridad, a través de darte seguridad, primero voy a fortalecer la policía para que tú le tengas confianza.Segundo, voy adquirir la mejor tecnología para aumentar las capacidades de inteligencia, de investigación y de análisis del Estado, tercero voy hacer lo que tenga que hacer para que no haya impunidad y el que la haga la pague.Cuarto, voy a poner como prioridad el combate al feminicidio, a la trata de las personas, a la desaparición de niños y adolescentes y de jóvenes y quinto, voy a eliminar la violencia a través de los valores.",1
DENISE MAERKER,NA,Moderador,"Candidata, me dice que va a defender a los mexicanos, el problema es que quien justamente extorsionan, secuestran, torturan y matan también son mexicanos.",1
MARGARITA ZAVALA,Zavala,Candidato,"Así es Denise, lo que voy hacer es defender a las familias y a los criminales, no les voy a dar amnistía como lo propone López Obrador, lo que voy hacer es enfrentar a los criminales que son en realidad los que causan la muerte, va haber presencia del Estado, ahora sí tengo que redondear el último punto, para darte seguridad también requerimos manejar los valores en nuestro país, en las escuelas, en las familias y por supuesto a través de la educación, el deporte y la cultura, es integral la propuesta de seguridad, pero tiene que haber justicia.",1
DENISE MAERKER,NA,Moderador,"Sobre el tema de justica, se ha invertido en los años y no solamente en este gobierno particularmente en el anterior, en el gobierno de Felipe Calderón se duplicó el presupuesto de la Secretaría de la Defensa Nacional, se cuadruplicó el de la Secretaría de Seguridad Pública y, sin embargo, se quedó estancado el de procuración de justicia ¿Se puede resolver con policías sin tener detrás quien pruebe que quienes son detenidos realmente son responsables?",1
MARGARITA ZAVALA,Zavala,Candidato,"Bueno, no sólo eso, no sólo eso, primero, claro que lo primero que tenemos que hacer es reforzar la Policía, por supuesto que sí y la tenemos que hacer, la clave que sea de tu confianza, es decir, que cualquier mamá que me esté oyendo le pueda decir una hija `si tiene miedo, ve con la policía` y por supuesto habrá que poner mucho más énfasis en el tema de justicia, mucho más énfasis también en el tema de la reparación del daño, más énfasis incluso en las víctimas, en el derecho que tienen a la verdad, a la memoria, a la reparación, perdón, Denise.",1
DENISE MAERKER,NA,Moderador,"No, al contrario, candidata, quizá la pregunta es, ¿se puede vencer a la violencia con policías?",1
MARGARITA ZAVALA,Zavala,Candidato,"No sólo con la policía, no sólo, es más, yo para defenderte a ti de la violencia, para defender a los mexicanos pues no sólo utilizaría la policía, sino todo lo que estuviera a mi alcance para defender a los mexicanos. Si son las Fuerzas Armadas, las Fuerzas Armadas por supuesto, las cuales además estoy orgullosa respeto enormemente y en la medida que tenga una Policía confiable irán paulatinamente a los cuarteles.",1
DENISE MAERKER,NA,Moderador,"Candidato José Antonio Meade, adelante.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"Sí, en este tema de seguridad tenemos básicamente dos opciones, la primera, apostarle a la certidumbre, apostarle a recuperar los valores familiares, a reconstruir nuestras comunidades, fortalecer y evitar la estrategia para que no lleguen armas ni dinero a los delincuentes, fortalecerá la Policía y reconocer a las Fuerzas Armadas.La otra alternativa es alguien que hoy está al servicio de narcotraficantes, la otra alternativa es quien en su miedo de volver a perder se ha convertido…",1
DENISE MAERKER,NA,Moderador,"¿Quiere usar, uso de su réplica, candidato?",1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, nada más aclarar que cuando fui jefe de Gobierno se redujo el delito de secuestro en 38%, mientras a nivel nacional en el gobierno del PAN creció tres veces y a las pruebas me remito.",1
DENISE MAERKER,NA,Moderador,"Gracias.Margarita Zavala, primera réplica.",1
MARGARITA ZAVALA,Zavala,Candidato,"Bueno, sí, una de mis propuestas es precisamente enfrentar a los criminales y a los delincuentes ¿Por qué estoy en contra de la militar de amnistía que sí es liberar a los criminales, eso es? Fíjense la diferencia, Andrés Manuel López Obrador y yo fuimos a Guerrero en distinta ocasión, él fue a decirles que los iba a liberar a través de la amnistía, yo fui a decirle a la gente que los iba a defender porque por el crimen organizado han perdido sus empleos, su tranquilidad y su paz.",1
DENISE MAERKER,NA,Moderador,"Gracias. Si no hay réplica, Ricardo Anaya.",1
RICARDO ANAYA,Anaya,Candidato,"Dice Andrés Manuel que si hay empleo y hay prosperidad se resuelve en buena medida el problema de la seguridad y en algo tiene razón, el problema es que vean lo que pasa cuando él gobierna, cuando fue jefe de Gobierno, las inversiones cayeron 40%, el crecimiento económico fue la mitad de lo que fue a nivel nacional y, por supuesto, aumentó el desempleo por una razón muy simple, porque espanta las inversiones y eso es un enemigo de la seguridad y de la paz en el país.",1
DENISE MAERKER,NA,Moderador,Margarita Zavala.,1
MARGARITA ZAVALA,Zavala,Candidato,"Sí, lo que sí me gustaría que Ricardo Anaya aclarara es si realmente es el Ricardo Anaya que apoyaba precisamente pues una política de seguridad, enfrentar a los criminales o el que ahorita niega y trae comisiones de la verdad o el que les aprobó que la Policía se fuera a una secretaría, se escondiera en la Secretaría de Gobernación. Mi propuesta es que haya una Secretaría de Seguridad Ciudadana.",1
DENISE MAERKER,NA,Moderador,"Tiene todavía réplica, no, candidato ya usó sus dos réplicas, disculpen, Andrés Manuel pues Obrador.Le doy la palabra a Sergio Sarmiento para iniciar el segundo segmento de este tema.",1
SERGIO SARMIENTO,NA,Moderador,"Este segundo segmento es una mesa de diálogo, la regla es muy sencilla, todos van a poder hablar 2 minutos y medio, pero no más de 1 minuto en cada ocasión, podrá haber un diálogo, me podrán pedir la palabra de manera que podamos tener un diálogo lo más fluido posible.Yo quisiera empezar con Ricardo Anaya. Ricardo Anaya, el repunte de la violencia en nuestro país empezó en el 2008, ¿qué pasó y por qué gobiernos, tanto del PAN como del PRI, no nos pudieron dar la seguridad que es la principal responsabilidad de un Gobierno de la República?",1
RICARDO ANAYA,Anaya,Candidato,"Gracias Sergio. Está clarísimo, por un error de estrategia, porque no se ha entendido que lo que hay que hacer es desmantelar y no descabezar a las organizaciones criminales y lo explico con un ejemplo: Cuando se detuvo a Oziel Cárdenas, el líder del Cártel del Golfo, no se desmanteló al cártel y lo que sí ocurrió fue que los Zetas se desindieron , se desató una ola de violencia que todavía padecemos en el noreste del país, señaladamente en Tamaulipas ¡Ah! Qué diferencia cuando a principios de enero, en Italia, después de un ejercicio de inteligencia, en un solo día detienen a 169 personas, incluidos tres alcaldes coludidos, los incautan el equivalente a mil 100 millones de pesos, sin disparar una sola bala. Esa es la diferencia en el cambio de estrategia, inteligencia previa para desmantelar y no sólo estar deteniendo a las cabezas del crimen organizado, eso es fundamental y con ese cambio de estrategia vamos a recuperar la paz.",1
SERGIO SARMIENTO,NA,Moderador,"Gracias candidato Anaya.Candidato Meade, si quiere tomar la palabra porque estamos hablando de ese mismo período, a partir del 2008, un gobierno panista, un gobierno priista y, de hecho, usted formó parte de los dos gobiernos en la parte que no tenía que ver con seguridad, pero delante.",1
JOSÉ ANTONIO MEADE,Meade,Candidato,"De hecho es malo el diagnóstico que hace Ricardo, en sentido estricto lo que pasó es que el narcotráfico pasó de controlar solamente la ruta de trasiego a empezar a disputar terreno con los gobiernos, se empezó a meter en el robo, en el secuestro, en la extorsión, en la trata y eso implicó que una estrategia que estaba solamente orientada a controlar las carreteras, tenía que desdoblarse a una estrategia en donde aseguráramos los territorios.¿Qué ha venido pasando a la fecha? Nos hemos venido quedando cortos porque ni prevenimos con suficiencia, ni disuadimos con la fuerza necesaria, pero sobre todo no investigamos. La inteligencia ayuda en la prevención, pero no ayuda en la rendición de cuentas; la rendición de cuentas implica el Código Penal Único; la rendición de cuenta implica una agencia de investigación y la rendición de cuentas implica cuadruplicar la capacidad de investigación del Estado.Y Andrés Manuel se equivoca En sus cuentas, cuando él empezó a gobernar en la Ciudad de México, uno de cada siete…",1
SERGIO SARMIENTO,NA,Moderador,"Ha hablado ya un minuto, Margarita Zavala, adelante.",1
MARGARITA ZAVALA,Zavala,Candidato,"Sí, bueno, Ricardo se equivoca en el sentido de que no, no es falta, no hay un error en la estrategia. Un gobierno tiene que responder con lo que tiene a su mano, con todos los instrumentos legales, y en ese momento era lo que tenía y enfrentó a los criminales, si lo que pasa es que no se había enfrentado a tiempo, y ahora esa estrategia, antes no criticaba, pues ahora es la misma, es enfrentar a los delincuentes, es la presencia del Estado lo que necesitamos.",1
SERGIO SARMIENTO,NA,Moderador,Ricardo Anaya.,1
RICARDO ANAYA,Anaya,Candidato,"El primer paso para resolver un problema es reconocerlo, me sorprende que no quieran reconocer el nivel de violencia que estamos viviendo en el país.Miren, si la estrategia fuera tan buena, se lanzó en 2014, ¿en cuántos estados aumentó la violencia a partir de que lanzar una nueva estrategia? En 29 de las 32 entidades, prácticamente en todo el país. Tenemos que cambiar la estrategia, empezando por entender la diferencia entre descabezar y desmantelar, seguir apoyándonos en el Ejército, pero trabaja en tener policías confiables y profesionales.",1
SERGIO SARMIENTO,NA,Moderador,Candidato López Obrador.,1
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, son dos concepciones completamente distintas.Yo creo que la violencia se desató en el país porque no ha habido crecimiento económico desde hace 30 años en términos reales, si no hay presidente económico no hay empleos, si no hay empleos no hay bienestar, y si no hay bienestar no puede haber paz y tranquilidad.Vienen estos datos, Sergio, tú estabas hablando del 2008 al 2016, Coneval, lo que ha crecido la pobreza en México, con Calderon y Peña Nieto, nada más cuatro millones de pobres en ocho años, a razón de 500 mil pobres por año, es una fábrica de pobreza, pero mira a los jóvenes, en el mismo periodo, 2008 a 2016, de 15 en términos generales a 16 millones, 1 millón de jóvenes…",1
SERGIO SARMIENTO,NA,Moderador,"Ya agotó su minuto, candidato, pero podemos regresar en un momento más, tiene todavía una bolsa de tiempo.Jaime Rodríguez Calderón, su tiempo.",1
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Sí se dan cuenta, mexicanos, la pelotita es de aquí para allá, no han resuelto y se están echando culpas, cuando tenemos que hacer planteamientos.Coincido con Andrés en el tema de que ha crecido la pobreza, Nuevo León es el único estado del país que ha bajado la pobreza, ¿y saben por qué? Porque quitamos el asistencialismo, lo que promete Andrés Manuel, Anaya y Meade, es regalar el dinero de los que trabajamos y creen que con eso van a resolver el problema.En Nuevo León no tenemos ningún programa asistencialista y hemos bajado casi 20 puntos el porcentaje de pobreza extrema, seremos el único estado del país que levantaremos bandera blanca en ese tema.Entonces, yo creo que hay que incrementar, y creo que tanto José Antonio, como quienes están aquí, el propio Ricardo, que han sido parte de esto, evidentemente no vieron eso cuando estaban…",1
SERGIO SARMIENTO,NA,Moderador,"Ya es un minuto, pero podemos regresar con usted un poco más adelante.Margarita Zavala, adelante.",1
MARGARITA ZAVALA,Zavala,Candidato,"Bueno, primero le diría a Andrés Manuel que no criminalice la pobreza, podemos estar de acuerdo en el diagnóstico mismo pero no criminalizar. Los criminales, del crimen organizado, están llenos de dinero, no es un asunto que criminalicemos a los pobres.Segundo, a ver, Ricardo, la verdad es que sí se entregaron buenas cuentas, fue disminuyendo, fue disminuyendo, los homicidios y la violencia, porque lo que causa la muerte no es el Estado y su presencia, sino la retirada del Estado y son los criminales los que matan. Por eso con presencia valiente del Estado, lo tenemos que hacer.",1
SERGIO SARMIENTO,NA,Moderador,"José Antonio Meade, adelante.",1
